instructions.started,instructions.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_1.ran,amount1,amount2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,bye.started,bye.stopped
0,10.269,space,10.257,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,10.276,15.994,right,5.501,,0,0,0,9,1,Receive £10 in 5 days time,Receive £9 now,,,,,,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,15.994,18.419,right,2.209,,0,1,1,6,1,Receive £9 in 30 days time,Receive £2 now,,,,,,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,18.419,20.735,right,2.098,,0,2,2,7,1,Receive £10 in 14 days time,Receive £7 now,,,,,,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,20.736,28.069,right,7.114,,0,3,3,5,1,Receive £5 in 80 days time,Receive £4 now,,,,,,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,28.07,30.86,left,2.574,,0,4,4,1,1,Receive £8 now,Receive £10 in 30 days time,,,,,,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,30.861,33.803,right,2.725,,0,5,5,8,1,Receive £3 in 90 days time,Receive £5 now,,,,,,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,33.805,37.752,left,3.731,,0,6,6,0,1,Receive £10 now,Receive £10 in 10 days time,,,,,,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,37.752,41.094,left,3.125,,0,7,7,4,1,Receive £1 now,Receive £10 in 100 days time,,,,,,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,41.095,44.385,right,3.076,,0,8,8,3,1,Receive £1 now,Receive £7 in 7 days time,,,,,,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,44.385,47.186,right,2.582,,0,9,9,2,1,Receive £5 now,Receive £8 in 2 days time,,,,,,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,47.192,52.069,left,4.665,,,,,,,"Receive £1,000 in 14 days time",Receive £700 now,0,0,0,7,1,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,52.07,61.335,left,9.048,,,,,,,"Receive £30,000 in 90 days time","Receive £20,000 now",0,1,1,8,1,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,61.335,64.469,left,2.919,,,,,,,"Receive £5,000 now",Receive £800 in 2 days time,0,2,2,2,1,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,64.469,67.752,left,3.064,,,,,,,"Receive £100,000 in 5 days time","Receive £20,000 now",0,3,3,9,1,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,67.755,71.727,right,3.756,,,,,,,"Receive £100,000 now","Receive £7,000,000 in 1 year time",0,4,4,3,1,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,71.728,83.877,right,11.937,,,,,,,"Receive £6,000 now","Receive £20,000 in 100 days time",0,5,5,4,1,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,83.877,86.699,left,2.603,,,,,,,"Receive £8,000 in 30 days time","Receive £3,000 now",0,6,6,6,1,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,86.699,89.631,right,2.719,,,,,,,"Receive £10,000 now","Receive £100,000 in 10 days time",0,7,7,0,1,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,89.631,92.39,left,2.54,,,,,,,"Receive £500,000 in 80 days time","Receive £4,000 now",0,8,8,5,1,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,92.391,96.14,right,3.536,,,,,,,"Receive £80,000 now","Receive £200,000 in 30 days time",0,9,9,1,1,,,,,,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,96.15,102.081,right,5.719,,,,,,,Receive £10 in 14 days time,Receive £7 now,,,,,,0,0,0,7,1,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,102.084,106.465,right,4.164,,,,,,,Receive £9 in 30 days time,Receive £2 now,,,,,,0,1,1,6,1,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,106.466,108.931,left,2.252,,,,,,,Receive £1 now,Receive £10 in 100 days time,,,,,,0,2,2,4,1,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,108.931,111.082,right,1.941,,,,,,,Receive £3 in 90 days time,Receive £5 now,,,,,,0,3,3,8,1,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,111.082,113.173,right,1.874,,,,,,,Receive £5 now,Receive £8 in 2 days time,,,,,,0,4,4,2,1,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,113.174,116.832,right,3.44,,,,,,,Receive £10 in 5 days time,Receive £9 now,,,,,,0,5,5,9,1,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,116.832,118.723,left,1.681,,,,,,,Receive £8 now,Receive £10 in 30 days time,,,,,,0,6,6,1,1,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,118.723,121.139,right,2.202,,,,,,,Receive £5 in 80 days time,Receive £4 now,,,,,,0,7,7,5,1,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,121.14,122.864,right,1.507,,,,,,,Receive £1 now,Receive £7 in 7 days time,,,,,,0,8,8,3,1,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,122.865,124.956,left,1.879,,,,,,,Receive £10 now,Receive £10 in 10 days time,,,,,,0,9,9,0,1,,
,,,,,2380228,001,2026-05-11_11h29.13.441,delay_discount,2026.1.3,MacIntel,119.9040767,,,,,,,,,,,,,,,,,,,,,,,124.956,127.957
